text,label
Iâ€™m the kind of student who likes to turn a rough idea into a working prototype.,Builder
Iâ€™m the kind of student who likes to make a quick web tool for a club sign-up.,Builder
Iâ€™m the kind of student who likes to assemble a useful setup from dorm supplies.,Builder
Iâ€™m the kind of student who likes to build a booth prop that people can actually use.,Builder
Iâ€™m the kind of student who likes to create a first version before anyone overplans it.,Builder
Iâ€™m the kind of student who likes to turn a blank table into a finished display.,Builder
Iâ€™m the kind of student who likes to make something hands-on that solves a campus need.,Builder
I get weirdly motivated when I can turn a rough idea into a working prototype.,Builder
I get weirdly motivated when I can make a quick web tool for a club sign-up.,Builder
I get weirdly motivated when I can assemble a useful setup from dorm supplies.,Builder
I get weirdly motivated when I can build a booth prop that people can actually use.,Builder
I get weirdly motivated when I can create a first version before anyone overplans it.,Builder
I get weirdly motivated when I can turn a blank table into a finished display.,Builder
I get weirdly motivated when I can make something hands-on that solves a campus need.,Builder
My friends know Iâ€™ll probably turn a rough idea into a working prototype before I call it done.,Builder
My friends know Iâ€™ll probably make a quick web tool for a club sign-up before I call it done.,Builder
My friends know Iâ€™ll probably assemble a useful setup from dorm supplies before I call it done.,Builder
My friends know Iâ€™ll probably build a booth prop that people can actually use before I call it done.,Builder
My friends know Iâ€™ll probably create a first version before anyone overplans it before I call it done.,Builder
My friends know Iâ€™ll probably turn a blank table into a finished display before I call it done.,Builder
My friends know Iâ€™ll probably make something hands-on that solves a campus need before I call it done.,Builder
I feel most useful on campus when I can turn a rough idea into a working prototype.,Builder
I feel most useful on campus when I can make a quick web tool for a club sign-up.,Builder
I feel most useful on campus when I can assemble a useful setup from dorm supplies.,Builder
I feel most useful on campus when I can build a booth prop that people can actually use.,Builder
I feel most useful on campus when I can create a first version before anyone overplans it.,Builder
I feel most useful on campus when I can turn a blank table into a finished display.,Builder
I feel most useful on campus when I can make something hands-on that solves a campus need.,Builder
Give me a free afternoon and Iâ€™ll usually turn a rough idea into a working prototype.,Builder
Give me a free afternoon and Iâ€™ll usually make a quick web tool for a club sign-up.,Builder
Give me a free afternoon and Iâ€™ll usually assemble a useful setup from dorm supplies.,Builder
Give me a free afternoon and Iâ€™ll usually build a booth prop that people can actually use.,Builder
Give me a free afternoon and Iâ€™ll usually create a first version before anyone overplans it.,Builder
Give me a free afternoon and Iâ€™ll usually turn a blank table into a finished display.,Builder
Give me a free afternoon and Iâ€™ll usually make something hands-on that solves a campus need.,Builder
Iâ€™m happiest in college when I get to turn a rough idea into a working prototype.,Builder
Iâ€™m happiest in college when I get to make a quick web tool for a club sign-up.,Builder
Iâ€™m happiest in college when I get to assemble a useful setup from dorm supplies.,Builder
Iâ€™m happiest in college when I get to build a booth prop that people can actually use.,Builder
Iâ€™m happiest in college when I get to create a first version before anyone overplans it.,Builder
Iâ€™m happiest in college when I get to turn a blank table into a finished display.,Builder
Iâ€™m happiest in college when I get to make something hands-on that solves a campus need.,Builder
I usually notice chances to turn a rough idea into a working prototype around classes or clubs.,Builder
I usually notice chances to make a quick web tool for a club sign-up around classes or clubs.,Builder
I usually notice chances to assemble a useful setup from dorm supplies around classes or clubs.,Builder
I usually notice chances to build a booth prop that people can actually use around classes or clubs.,Builder
I usually notice chances to create a first version before anyone overplans it around classes or clubs.,Builder
I usually notice chances to turn a blank table into a finished display around classes or clubs.,Builder
I usually notice chances to make something hands-on that solves a campus need around classes or clubs.,Builder
Iâ€™m into situations where I can turn a rough idea into a working prototype.,Builder
Iâ€™m into situations where I can make a quick web tool for a club sign-up.,Builder
Iâ€™m into situations where I can assemble a useful setup from dorm supplies.,Builder
Iâ€™m into situations where I can build a booth prop that people can actually use.,Builder
Iâ€™m into situations where I can create a first version before anyone overplans it.,Builder
Iâ€™m into situations where I can turn a blank table into a finished display.,Builder
Iâ€™m into situations where I can make something hands-on that solves a campus need.,Builder
"On a good weekend, Iâ€™ll find some reason to turn a rough idea into a working prototype.",Builder
"On a good weekend, Iâ€™ll find some reason to make a quick web tool for a club sign-up.",Builder
"On a good weekend, Iâ€™ll find some reason to assemble a useful setup from dorm supplies.",Builder
"On a good weekend, Iâ€™ll find some reason to build a booth prop that people can actually use.",Builder
"On a good weekend, Iâ€™ll find some reason to create a first version before anyone overplans it.",Builder
